Academic Year,TAP Sector Group,Scholarship Name,Scholarship Headcount,Scholarship FTE,Scholarship Dollars
2015,6-BUS. DEGREE,Flight 587 Memorial Scholarship,1,0.33,4925.67
2015,2-CUNY CC,Flight 587 Memorial Scholarship,2,1.00,11978.50
2015,5-INDEPENDENT,Flight 587 Memorial Scholarship,7,7.00,120691.75
2015,3-SUNY SO,Flight 587 Memorial Scholarship,3,3.00,62496.00
2015,1-CUNY SR,Flight 587 Memorial Scholarship,7,6.00,69029.60
2015,4-SUNY CC,Military Service Recognition Scholarship,16,11.75,117333.75
2015,6-BUS. DEGREE,Military Service Recognition Scholarship,3,2.83,35947.04
2015,2-CUNY CC,Military Service Recognition Scholarship,2,2.00,23774.40
2015,3-SUNY SO,Military Service Recognition Scholarship,37,27.75,519212.69
2015,5-INDEPENDENT,Military Service Recognition Scholarship,29,25.75,454806.00
2015,1-CUNY SR,Military Service Recognition Scholarship,8,7.00,119207.40
2015,1-CUNY SR,NYS Achievement and Investment In Merit Scholarship,74,73.00,36500.00
2015,3-SUNY SO,NYS Achievement and Investment In Merit Scholarship,579,569.50,284750.00
2015,5-INDEPENDENT,NYS Achievement and Investment In Merit Scholarship,897,886.50,443250.04
2015,4-SUNY CC,NYS Achievement and Investment In Merit Scholarship,52,51.00,25500.00
2015,3-SUNY SO,NYS Math and Science Teacher Incentive Scholarship,30,29.50,186537.50
2015,5-INDEPENDENT,NYS Math and Science Teacher Incentive Scholarship,26,26.00,168870.00
2015,1-CUNY SR,NYS Math and Science Teacher Incentive Scholarship,5,5.00,32310.00
2015,3-SUNY SO,"NYS Memorial Scholarships for Families of Deceased Firefighters, Volunteer Firefighters, Police Officers, Peace Officers and Emergency Medical Service Workers",15,13.50,263514.00
2015,5-INDEPENDENT,"NYS Memorial Scholarships for Families of Deceased Firefighters, Volunteer Firefighters, Police Officers, Peace Officers and Emergency Medical Service Workers",24,26.83,427254.00
2015,4-SUNY CC,"NYS Memorial Scholarships for Families of Deceased Firefighters, Volunteer Firefighters, Police Officers, Peace Officers and Emergency Medical Service Workers",9,8.00,96178.00
2015,2-CUNY CC,NYS Regents Awards for Children of Deceased and Disabled Veterans,12,9.00,4050.00
2015,6-BUS. DEGREE,NYS Regents Awards for Children of Deceased and Disabled Veterans,16,14.42,6487.50
2015,3-SUNY SO,NYS Regents Awards for Children of Deceased and Disabled Veterans,197,170.50,76725.00
2015,5-INDEPENDENT,NYS Regents Awards for Children of Deceased and Disabled Veterans,128,114.50,51525.00
2015,1-CUNY SR,NYS Regents Awards for Children of Deceased and Disabled Veterans,25,18.50,8325.00
2015,4-SUNY CC,NYS Regents Awards for Children of Deceased and Disabled Veterans,117,87.75,39487.50
2015,2-CUNY CC,NYS Scholarships for Academic Excellence,202,158.50,119750.00
2015,8-OTHER,NYS Scholarships for Academic Excellence,2,1.50,1750.00
2015,6-BUS. DEGREE,NYS Scholarships for Academic Excellence,74,71.00,49666.76
2015,3-SUNY SO,NYS Scholarships for Academic Excellence,4743,4448.50,3198989.50
2015,1-CUNY SR,NYS Scholarships for Academic Excellence,2329,2045.50,1458000.00
2015,5-INDEPENDENT,NYS Scholarships for Academic Excellence,6917,6596.58,4971545.54
2015,4-SUNY CC,NYS Scholarships for Academic Excellence,474,398.75,278625.00
2015,2-CUNY CC,"NYS Science, Technology, Engineering and Mathematics Incentive Program",2,2.00,3764.00
2015,1-CUNY SR,"NYS Science, Technology, Engineering and Mathematics Incentive Program",90,81.00,410533.95
2015,3-SUNY SO,"NYS Science, Technology, Engineering and Mathematics Incentive Program",1068,1017.00,5946856.10
2015,4-SUNY CC,"NYS Science, Technology, Engineering and Mathematics Incentive Program",27,24.00,81933.50
2015,8-OTHER,NYS World Trade Center Memorial Scholarship,2,2.00,28364.00
2015,3-SUNY SO,NYS World Trade Center Memorial Scholarship,269,242.50,4737804.27
